ID;Raison Sociale;Activité;Adresse;Localisation;Coordinates;CODE POSTAL;Secteur géographique;Responsable de l'entreprise;Téléphone entreprise;Téléphone Portable;Mail;Site internet de l'entreprise;Logo
ENT-0053;Norauto Montauban;Entretien automobile;510 Route du Nord 82000 Montauban;Norauto Montauban 510 Route du Nord 82000 Montauban;44.0385748,1.3825752;82000;MONTAUBAN;;05 63 21 20 30;;;https://centres.norauto.fr/tarn-et-garonne/montauban/za-futuropole?utm_source=google&utm_medium=organic&utm_campaign=mybusiness_local;https://mma.prnewswire.com/media/1777154/Norauto_Logo.jpg?p=facebook
ENT-0054;Speedy;Entretien automobile;69 avenue Gambetta 82000 Montauban;Speedy 69 avenue Gambetta 82000 Montauban;44.0215293,1.3606575;82000;MONTAUBAN;;05 63 20 12 01 ;;;https://centres-auto.speedy.fr/garage/montauban-82000/891?y_source=1_MTIwNDI3NTItNjM4LWxvY2F0aW9uLnd;https://storage.googleapis.com/wizville-public-eu/uploads/theme/logo/13945/4bd760b5fdb2bc7ece93d84cf1f5fbc7915013400c60124f8063f6eb934dce5a28693cdc4bfa26d7_logo%2Bspeedy%2B(1).png
ENT-0055;Midas;Entretien automobile;Route de Moissac 82100 Castelsarrasin;Midas Route de Moissac 82100 Castelsarrasin;44.0613185,1.0979271;82100;CASTELSARRASIN;Christophe Théau;05 63 95 04 40;;@midasfrance.zendesk.com;"
https://www.midas.fr/centres-auto-midas/occitanie/tarn-et-garonne/castelsarrasin/castelsarrasin_1514 ";https://media.cylex-locale.fr/companies/1040/7260/logo/logo.jpg
ENT-0056;Le pneu moussac - eurotype;Entretien automobile;Route de Saint-Aignan 14 82100 Castelsarrasin;Le pneu moussac - eurotype Route de Saint-Aignan 14 82100 Castelsarrasin;44.0350325,1.1041864;82100;CASTELSARRASIN;;05 63 32 62 82;;;"
https://www.pagesjaunes.fr › pros";https://tallereseurotyre.es/wp-content/uploads/2017/03/logo-eurotyre.jpg
ENT-0057;Vival;Grande surface alimentaire (supermarché); 2 Place Gambetta 82500 Beaumont-de-Lomagne;Vival  2 Place Gambetta 82500 Beaumont-de-Lomagne;43.8826221,0.9892183;82500;BEAUMONT DE LOMAGNE;;05 63 68 73 13 ;;;https://magasins.vival.fr/fr/s/vival-beaumont-de-lomagne;https://www.paysbasqueaucoeur.com/typo3temp/pics/V_ee4651af7a.jpg
ENT-0058;Lidl ;Grande surface alimentaire (supermarché);1 Impasse de l'hipodrome 82100 Castelsarrasin ;Lidl  1 Impasse de l'hipodrome 82100 Castelsarrasin ;44.0585077,1.098157;82100;CASTELSARRASIN;Mme. Laetitia De Montglofier ;0 800 90 03 43 ;;;https://www.lidl.fr/;https://castelsarrasin.commerces.top/wp-content/uploads/2017/10/IMG_9140-1024x768.jpg
ENT-0059;UTILE (Sarl Girovi);Grande surface alimentaire (supermarché);11 Rue Paul Descazeaux 82100 Castelsarrasin ;UTILE (Sarl Girovi) 11 Rue Paul Descazeaux 82100 Castelsarrasin ;44.0395997,1.1063908;82100;CASTELSARRASIN;Mme. Fabienne Giorza;05 63 32 34 67 ;06 78 01 83 02;;https://www.telephone.city/superette/utile-castelsarrasin-756504.html;https://www.pagesjaunes.fr/media/agc/81/c8/2d/00/00/80/62/0f/97/82/676581c82d000080620f9782/676581c82d000080620f9783.png
ENT-0060;Netto ;Grande surface alimentaire (supermarché);1139 Rue de l'Abbaye 82000 Montauban ;Netto  1139 Rue de l'Abbaye 82000 Montauban ;44.0049321,1.3566823;82000;MONTAUBAN;;05 63 91 40 57 ;;;https://magasin.netto.fr/277-netto-montauban;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR57dw3m9qBRoHXvABWy4y-JDx_ZG940E1H_RCuxduTbkKqGWCYjYPdrsw&s=10
ENT-0061;Super U Montauban;Grande surface alimentaire (supermarché);1155 Av. de l'Europe 82000 Montauban;Super U Montauban 1155 Av. de l'Europe 82000 Montauban;43.99000059999999,1.3323113;82000;MONTAUBAN;;05 64 13 76 76;;;https://www.coursesu.com/drive-superu-montauban;https://fr.wikipedia.org/wiki/Fichier:Super_U_logo.png
ENT-0062;Monop ;Grande surface alimentaire (supermarché);12 Rue de la République 82000 Montauban ;Monop  12 Rue de la République 82000 Montauban ;44.0161957,1.3556838;82000;MONTAUBAN;;05 63 23 20 23;;;https://www.monoprix.fr/monop-montauban-montauban-82000-s;https://mycowork.fr/evenement-privatisation-mycowork-beaubourg/logo-monoprix/
ENT-0063;Carrefour City ;Grande surface alimentaire (supermarché);14 Rue Léon Cladel 82000 Montauban ;Carrefour City  14 Rue Léon Cladel 82000 Montauban ;44.0225271,1.3596213;82000;MONTAUBAN;;05 63 20 28 42 ;;;https://www.carrefour.fr/magasin/city-montauban-cladel;https://d1ralsognjng37.cloudfront.net/74b7d5ed-eada-44ec-893d-15bf21b2010c.jpeg
