ID;Raison Sociale;Activité;Adresse;Localisation;Coordinates;CODE POSTAL;Secteur géographique;Responsable de l'entreprise;Téléphone entreprise;Téléphone Portable;Mail;Site internet de l'entreprise;Logo
ENT-0019;Human immobilier Moissac;Agence Immobilière ;7 Rue de la république  82200 Moissac;"=CONCATENATE(A20,"" "",C20)";44.1043952,1.0848656;82200;MOISSAC;Chretien Fréderic ; 05 63 39 70 27;;;https://www.human-immobilier.fr/moissac;https://www.pagesjaunes.fr/media/ugc/bourse_de_l_immobilier_08211200_152641615?w=200&h=200&crop=true
ENT-0020;Agence immobilère Lafôret Moissac;Agence Immobilière ;9 Place des Récollets 82200 Moissac;"=CONCATENATE(A21,"" "",C21)";44.10328,1.0850153;82200;MOISSAC;Mathieu Richard;05 63 05 05 50;;;http://www.laforet.com;https://www.pagesjaunes.fr/media/agc/crop/200x200/18/09/a4/00/00/98/01/ba/37/5c/5d361809a400009801ba375c/5d361809a400009801ba375d.jpg?v=2
ENT-0021;ORPI Atout Immobilier Montauban;Agence Immobilière ;970 Boulevard Blaise Doumerc 82000 Montauban;"=CONCATENATE(A22,"" "",C22)";44.020726,1.3625417;82000;MONTAUBAN;;05 63 21 00 26;;;https://www.orpi.com/atoutimmobilier/;https://drive.google.com/file/d/1h59Euf5szcW5E0PIhMASPcxwi-Xpy3kF/view?usp=share_link
ENT-0022;Ford Castelsarrasin- ASCM MOISSAC AUTO;Concession automobile;141 Chemin de la Chaumière ZI ARTEL EST 82100 Castelsarrasin;"=CONCATENATE(A23,"" "",C23)";44.0584292,1.0997366;82100;CASTELSARRASIN;;05 63 95 07 57;;;https://www.ford.fr/;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Ford_Motor_Company_Logo.svg/1024px-Ford_Motor_Company_Logo.svg.png
ENT-0023;Toyota - Edenauto - Montauban;Concession automobile;150 Imp. de Monaco 82000 Montauban;"=CONCATENATE(A24,"" "",C24)";43.99053989999999,1.3339306;82000;MONTAUBAN;;05 63 03 12 12;;;https://www.toyota.fr/;https://www.1min30.com/wp-content/uploads/2017/09/logo-Toyota-1.jpg
ENT-0024;VDL Service 82;Concession automobile;16 zi de l'artel lieux dit barrouet 82100 Castelsarrasin;"=CONCATENATE(A25,"" "",C25)";44.0652958,1.0993903;82100;CASTELSARRASIN;;05 63 32 52 09;;;;https://lh4.googleusercontent.com/-Bh1C5Lv68Ss/AAAAAAAAAAI/AAAAAAAAAAA/G1ySNY0U-z0/s44-p-k-no-ns-nd/photo.jpg
ENT-0025;MIDI-AUTO - Agence Renault;Concession automobile;1630 Route de Bordeaux 82000 Montauban;"=CONCATENATE(A26,"" "",C26)";44.030653,1.3179749;82000;MONTAUBAN;;05 63 63 51 03;;;https://www.renault.fr/;https://api.club.ffr.fr/cabrive-association/wp-content/uploads/sites/37/2020/03/Faurie.png
ENT-0026;FORD MONTAUBAN - AUTOS SETAM 82;Concession automobile;1724 Av. d'Espagne 82000 Montauban;"=CONCATENATE(A27,"" "",C27)";43.9915021,1.3365755;82000;MONTAUBAN;;05 63 23 03 03;;;https://www.ford.fr/;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Ford_Motor_Company_Logo.svg/1024px-Ford_Motor_Company_Logo.svg.png
ENT-0027;PEUGEOT MONTAUBAN - MACARD;Concession automobile;1825 Route du N 82000 Montauban;"=CONCATENATE(A28,"" "",C28)";44.0483838,1.3936421;82000;MONTAUBAN;;05 63 04 58 99;;;https://www.peugeot.fr/;https://media-exp2.licdn.com/dms/image/C4E0BAQFJ3OFkE2pOtA/company-logo_200_200/0/1614269459497?e=2147483647&v=beta&t=ZrSOPOndYb5nS_FhJTV3y0uERF391M6ORTJHJxxb08U
ENT-0028;RENAULT  - DACIA  (Faurie automobile);Concession automobile;2 Route de Toulouse 82100 Castelsarrasin;"=CONCATENATE(A29,"" "",C29)";44.0356944,1.1145432;82100;CASTELSARRASIN;;05 63 32 71 00;;e.eliseon@faurie.fr;https://www.renault.fr/;https://api.club.ffr.fr/cabrive-association/wp-content/uploads/sites/37/2020/03/Faurie.png
ENT-0029;AIXAM DE RAED & Fils;Concession automobile;22 Bd Marceau Fauré 82100 Castelsarrasin;"=CONCATENATE(A30,"" "",C30)";44.035855,1.1094862;82100;CASTELSARRASIN;;05 63 95 08 90;;;https://www.aixam.com/;https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Aixam_logo_detail.svg/1200px-Aixam_logo_detail.svg.png
ENT-0030;ISUZU GUY DE RAED (CUO DE RAED et Fils);Concession automobile;22 Boulevard Marceau Faure 82100 Castelsarrasin;"=CONCATENATE(A31,"" "",C31)";44.035855,1.1094862;82100;CASTELSARRASIN;M. DE RAED Benjamin;05 63 95 08 90;07 88 37 21 17;benjamin.deraed@monpickup-deraed.fr;www-garage-voiture-castelsarrasin.fr;https://logos-marques.com/wp-content/uploads/2021/02/Isuzu-Logo.jpg
ENT-0031;PEUGEOT MACARD CASTEL-MOISSAC;Concession automobile;22 Chem. de Caussade-Bas 82100 Castelsarrasin;"=CONCATENATE(A32,"" "",C32)";44.0752898,1.0935701;82100;CASTELSARRASIN;;05 63 95 16 16;;;https://www.peugeot.fr/;https://media-exp2.licdn.com/dms/image/C4E0BAQFJ3OFkE2pOtA/company-logo_200_200/0/1614269459497?e=2147483647&v=beta&t=ZrSOPOndYb5nS_FhJTV3y0uERF391M6ORTJHJxxb08U
ENT-0032;Hyundai Montauban - Pierre Guirado Automobiles;Concession automobile;300 Route du N 82005 Montauban;"=CONCATENATE(A33,"" "",C33)";44.0375448,1.3816704;82000;MONTAUBAN;;05 63 03 42 06;;;https://www.hyundai.com/fr.html;https://www.1min30.com/wp-content/uploads/2019/02/Hyundai-Logo-1.jpg
ENT-0033;Agence Renault - Relais du Chasselas;Concession automobile;43 Av. du Chasselas 82200 Moissac;"=CONCATENATE(A34,"" "",C34)";44.1099433,1.102576;82200;MOISSAC;;05 63 04 07 89;;;https://www.renault.fr/;https://api.club.ffr.fr/cabrive-association/wp-content/uploads/sites/37/2020/03/Faurie.png
ENT-0034;Garage Citroën;Concession automobile;46 Av. du Maréchal Leclerc 82100 Castelsarrasin;"=CONCATENATE(A35,"" "",C35)";44.047958,1.1030939;82100;CASTELSARRASIN;M.VACQUIE Philippe;05 63 32 34 18;;;https://www.citroen.fr;https://images.caradisiac.com/images/0/5/6/7/110567/S0-un-nouveau-logo-pour-citroen-388873.jpg
ENT-0035;PEUGEOT RAPIDE MOISSAC - MACARD;Concession automobile;Rue Benjamin Franklin 82200 Moissac;"=CONCATENATE(A36,"" "",C36)";44.115326,1.111787;82200;MOISSAC;;05 63 04 17 81;;;https://www.peugeot.fr/;https://media-exp2.licdn.com/dms/image/C4E0BAQFJ3OFkE2pOtA/company-logo_200_200/0/1614269459497?e=2147483647&v=beta&t=ZrSOPOndYb5nS_FhJTV3y0uERF391M6ORTJHJxxb08U
ENT-0036;Volkswagen Montauban- Autopole Maurel;Concession automobile;Z.A Albasud Imp. de Monaco 82000 Montauban;"=CONCATENATE(A37,"" "",C37)";43.989721,1.332692;82000;MONTAUBAN;;05 63 23 02 05;;;https://www.volkswagen.fr/;https://drive.google.com/file/d/1bEeT4uTnNLD1TtMkyRrSTpPoJOiRsBYs/view?usp=sharing
ENT-0037;NISSAN MONTAUBAN - GROUPE PEYROT;Concession automobile;ZAC Alba Sud - Avenue de l'Europe Avenue de l'Europe 82000 Montauban;"=CONCATENATE(A38,"" "",C38)";43.986894,1.3305936;82000;MONTAUBAN;;05 63 02 28 00;;;https://www.nissan.fr/;https://upload.wikimedia.org/wikipedia/commons/8/8c/Nissan_logo.png
ENT-0038;MERCEDES HAMECHER MONTAUBAN;Concession automobile;ZI Albasud, 40 Imp. de Maastricht, 82000 Montauban;"=CONCATENATE(A39,"" "",C39)";43.9774676,1.3347214;82000;MONTAUBAN;;05 63 23 07 70;;;https://www.hamecher.fr/;https://lh3.googleusercontent.com/p/AF1QipPD-yfIab68gkW3Bmtep0Swj_erJZujQa0bpPS2=s680-w680-h510
ENT-0039;MOISSAC-AUTOS SARL Ford;Concession automobile;ZI Artel East Rte de Moissac 82100 Castelsarrasin;"=CONCATENATE(A40,"" "",C40)";44.0613185,1.0979271;82100;CASTELSARRASIN;;05 63 95 07 57;;;https://www.ford.fr/;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Ford_Motor_Company_Logo.svg/1024px-Ford_Motor_Company_Logo.svg.png
ENT-0040;Sarl Garage St Michel - Citroën;Concession automobile;zi saint michel 30 Rue des Cerises 82200 Moissac;"=CONCATENATE(A41,"" "",C41)";44.11125,1.10601;82200;MOISSAC;;05 63 04 58 99;;;https://www.citroen.fr;https://images.caradisiac.com/images/0/5/6/7/110567/S0-un-nouveau-logo-pour-citroen-388873.jpg
ENT-0041;Renault Faurie Truck;Concession automobile;Zone Artisanale Marches 82100 Castelsarrasin;"=CONCATENATE(A42,"" "",C42)";44.055445,1.092817;82100;CASTELSARRASIN;;05 63 05 09 73;;jf.ruhant@faurie.fr;;https://www.mecajob.fr/wp-content/uploads/2/2020/02/57a1ae84c47d2-1519222453.jpg
ENT-0042;Nocibé - MONTAUBAN;Cosmétique - Parfumerie; 17 Rue Jules Michelet 82000 Montauban;"=CONCATENATE(A43,"" "",C43)";44.0169198,1.355778;82000;MONTAUBAN;; 05 63 91 99 96;;;www.nocibe.fr;https://drive.google.com/file/d/1XwnJAIkEpqCm_paInxESCF6YRRlK1TaB/view?usp=share_link
ENT-0043;Nocibé ;Cosmétique - Parfumerie;1400 Route de Moissac 82100 Castelsarrasin;"=CONCATENATE(A44,"" "",C44)";44.0642746,1.0974081;82100;CASTELSARRASIN;;"05 63 04 52 74
";;;http://nocibe.fr/;https://drive.google.com/file/d/1XwnJAIkEpqCm_paInxESCF6YRRlK1TaB/view?usp=share_link
ENT-0044;Marionnaud-Parfumerie;Cosmétique - Parfumerie;6 Rue Jules Michelet 82000 Montauban;"=CONCATENATE(A45,"" "",C45)";44.0170058,1.3547984;82000;MONTAUBAN;;05 63 63 02 14;;;www.marionnaud.fr;https://www.belest.fr/wp-content/uploads/2018/06/Marrionaud-centre-commercial-BelEst_logo.jpg
ENT-0045;Parfumerie Furlan;Cosmétique - Parfumerie;7 Allée du 4 Septembre 82400 Valence d'Agen;"=CONCATENATE(A46,"" "",C46)";44.1079346,0.8907997000000001;82400;VALENCE D'AGEN;;05 63 29 03 06;;;http://www.parfumerie-valence-agen.fr/;http://www.parfumerie-valence-agen.fr/img/logoOK.jpg
ENT-0046;Beauty Success;Cosmétique - Parfumerie;centre commercial Leclerc Aussonne, 82000 Montauban;"=CONCATENATE(A47,"" "",C47)";44.0383817,1.380087;82000;MONTAUBAN;;05 63 91 85 50;;;https://www.beautysuccess.fr/nos-points-de-vente/montauban/024;https://clicrdv-production-groups.s3-eu-west-1.amazonaws.com/group-127179/logo/raw/1486476440.png
ENT-0047;Yves Rocher ;Cosmétique - Parfumerie;9 Rue de la République82200 Moissac;"=CONCATENATE(A48,"" "",C48)";44.1043206,1.084903;82200;MOISSAC;;05 63 93 73 85 ;;;yves-rocher.fr ;https://www.centre-commercial.fr/carrefour-salaise/wp-content/uploads/sites/18/2014/09/200.png
ENT-0048;Nocibé - MONTAUBAN SAPIAC;Cosmétique - Parfumerie;Galerie marchande Leclerc Sapiac l'Abbaye, Rue de l'Abbaye, 82000 Montauban, France;"=CONCATENATE(A49,"" "",C49)";44.0052108,1.3546968;82000;MONTAUBAN;;05 63 63 52 78;;;www.nocibe.fr;https://drive.google.com/file/d/1XwnJAIkEpqCm_paInxESCF6YRRlK1TaB/view?usp=share_link
ENT-0049;Nocibé - MOISSAC;Cosmétique - Parfumerie;Route de Lafrançaise 82200 Moissac;"=CONCATENATE(A50,"" "",C50)";44.00545169999999,1.354873;82200;MOISSAC;;05 63 32 38 09;;;http://www.nocibe.fr/;https://drive.google.com/file/d/1XwnJAIkEpqCm_paInxESCF6YRRlK1TaB/view?usp=share_link
ENT-0050;Roady;Entretien automobile;200 Route du Nord 82000 Montauban;"=CONCATENATE(A51,"" "",C51)";44.03702699999999,1.3814442;82000;MONTAUBAN;;05 35 54 19 68;;;https://www.roady-montauban.fr/;https://www.roady-montauban.fr/docs/abonnements/13/roady-montauban-centre-auto-min.jpg
ENT-0051;Feu vert Castelsarrasin;Entretien automobile;28 rue de terre blanche 82100 Castelsarrasin;"=CONCATENATE(A52,"" "",C52)";44.0618827,1.0973941;82100;CASTELSARRASIN;;05 63 04 49 55;;;https://www.feuvert.fr/;https://tse4.mm.bing.net/th?id=OIP.gKWJOuh3R9M9mJ0a1q_w3gHaHa&pid=Api&P=0
ENT-0052;ALLIANCE AUTO INDUSTRIE;Entretien automobile;201 Av. Jacques Douzans, 31600 Muret, France;"=CONCATENATE(A53,"" "",C53)";43.4738455,1.3302779;31600;MURET;;05 61 51 12 28 ;;jrenard@accipro.fr;https://distributeur.groupauto.fr/593-alliance-auto-industrie-muret;https://www.pagesjaunes.fr/media/agc/crop/100x100/74/ac/3b/00/00/f9/ab/68/a3/bd/5be074ac3b0000f9ab68a3bd/00102108_V1_0000.jpg?v=2
ENT-0053;Norauto Montauban;Entretien automobile;510 Route du Nord 82000 Montauban;"=CONCATENATE(A54,"" "",C54)";44.0385748,1.3825752;82000;MONTAUBAN;;05 63 21 20 30;;;https://centres.norauto.fr/tarn-et-garonne/montauban/za-futuropole?utm_source=google&utm_medium=organic&utm_campaign=mybusiness_local;https://mma.prnewswire.com/media/1777154/Norauto_Logo.jpg?p=facebook
ENT-0054;Speedy;Entretien automobile;69 avenue Gambetta 82000 Montauban;"=CONCATENATE(A55,"" "",C55)";44.0215293,1.3606575;82000;MONTAUBAN;;05 63 20 12 01 ;;;https://centres-auto.speedy.fr/garage/montauban-82000/891?y_source=1_MTIwNDI3NTItNjM4LWxvY2F0aW9uLnd;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR3iGezgVcFk8SG6jJosV82F3iOHBRjpi6Sg67wh1AaHI-IGY5peqyylo6ST_IIfU2z-3Y&usqp=CAU
ENT-0055;Midas;Entretien automobile;Route de Moissac 82100 Castelsarrasin;"=CONCATENATE(A56,"" "",C56)";44.0613185,1.0979271;82100;CASTELSARRASIN;Christophe Théau;05 63 95 04 40;;1514@midasfrance.net;"
https://www.midas.fr/centres-auto-midas/occitanie/tarn-et-garonne/castelsarrasin/castelsarrasin_1514 ";https://media.cylex-locale.fr/companies/1040/7260/logo/logo.jpg
ENT-0056;Le pneu moussac - eurotype;Entretien automobile;Route de Saint-Aignan 14 82100 Castelsarrasin;"=CONCATENATE(A57,"" "",C57)";44.0350325,1.1041864;82100;CASTELSARRASIN;;05 63 32 62 82;;;;https://tallereseurotyre.es/wp-content/uploads/2017/03/logo-eurotyre.jpg
ENT-0057;Vival;Grande surface alimentaire (supermarché); 2 Place Gambetta 82500 Beaumont-de-Lomagne;"=CONCATENATE(A58,"" "",C58)";43.8826221,0.9892183;82500;BEAUMONT DE LOMAGNE;;05 63 68 73 13 ;;;https://magasins.vival.fr/fr/s/vival-beaumont-de-lomagne;https://www.paysbasqueaucoeur.com/typo3temp/pics/V_ee4651af7a.jpg
ENT-0058;Lidl ;Grande surface alimentaire (supermarché);1 Impasse de l'hipodrome 82100 Castelsarrasin ;"=CONCATENATE(A59,"" "",C59)";44.0585077,1.098157;82100;CASTELSARRASIN;Mme. Laetitia De Montglofier ;0 800 90 03 43 ;;;https://www.lidl.fr/;https://castelsarrasin.commerces.top/wp-content/uploads/2017/10/IMG_9140-1024x768.jpg
ENT-0059;UTILE (Sarl Girovi);Grande surface alimentaire (supermarché);11 Rue Paul Descazeaux 82100 Castelsarrasin ;"=CONCATENATE(A60,"" "",C60)";44.0395997,1.1063908;82100;CASTELSARRASIN;Mme. Fabienne Giorza;05 63 32 34 67 ;06 78 01 83 02;;;https://www.pagesjaunes.fr/media/ugc/girovi_08203300_154211050?w=1024&h=576
ENT-0060;Netto ;Grande surface alimentaire (supermarché);1139 Rue de l'Abbaye 82000 Montauban ;"=CONCATENATE(A61,"" "",C61)";44.0049321,1.3566823;82000;MONTAUBAN;;05 63 91 40 57 ;;;https://magasin.netto.fr/277-netto-montauban;https://www.pagesjaunes.fr/media/agc/89/cb/69/00/00/ba/14/33/26/c8/630389cb690000ba143326c8/630389cb690000ba143326c9.jpg
ENT-0061;Super U Montauban;Grande surface alimentaire (supermarché);1155 Av. de l'Europe 82000 Montauban;"=CONCATENATE(A62,"" "",C62)";43.99000059999999,1.3323113;82000;MONTAUBAN;;05 64 13 76 76;;;https://www.coursesu.com/drive-superu-montauban;https://www.la-galerie.com/media/centers/thumbnail/Montauban-Albasud.jpg
ENT-0062;Monop ;Grande surface alimentaire (supermarché);12 Rue de la République 82000 Montauban ;"=CONCATENATE(A63,"" "",C63)";44.0161957,1.3556838;82000;MONTAUBAN;;05 63 23 20 23;;;https://www.monoprix.fr/monop-montauban-montauban-82000-s;https://www.arosteguy.com/img/st/91-store_default.jpg
ENT-0063;Carrefour City ;Grande surface alimentaire (supermarché);14 Rue Léon Cladel 82000 Montauban ;"=CONCATENATE(A64,"" "",C64)";44.0225271,1.3596213;82000;MONTAUBAN;;05 63 20 28 42 ;;;https://www.carrefour.fr/magasin/city-montauban-cladel;https://d1ralsognjng37.cloudfront.net/74b7d5ed-eada-44ec-893d-15bf21b2010c.jpeg
ENT-0064;Centre E.Leclerc ;Grande surface alimentaire (supermarché);1400 Route de Moissac 82100 Castelsarrasin ;"=CONCATENATE(A65,"" "",C65)";44.0642746,1.0974081;82100;CASTELSARRASIN;Mme. Béatrice Albinet ;05 63 32 78 00 ;05 63 32 78 00;balbinet@leclerc-sodiart.com;https://www.e.leclerc/mag/e-leclerc-castelsarrasin;https://s7e5a.scene7.com/is/image/gtinternet/1658306730407?scl=1&op_sharpen=1&resmode=bilin&fmt=pjpeg&qlt=85&wid=1900&fit=fit,1&hei=583
ENT-0065;Géant Casino ;Grande surface alimentaire (supermarché);2 Boulevard du Quercy 82200 Moissac ;"=CONCATENATE(A66,"" "",C66)";44.105404,1.0920162;82200;MOISSAC;;05 63 04 89 00 ;;;https://magasins.supercasino.fr/supermarche/moissac/CS590;https://drive.google.com/file/d/1bJn7b-F3c7tqbQ8s6V4sPvtzUVGpwQzM/view?usp=share_link
ENT-0066;Centre Leclerc ;Grande surface alimentaire (supermarché);230 Rue de l' Abbaye 82000 Montauban ;"=CONCATENATE(A67,"" "",C67)";44.0124204,1.3532814;82000;MONTAUBAN;;05 63 63 62 66;;;https://www.e.leclerc/mag/e-leclerc-sapiac;https://th.bing.com/th/id/OIP.Y5Wv4b_T0SuPjUh0IQkhQwHaHa?pid=ImgDet&w=1701&h=1701&rs=1
ENT-0067;Intermarché EXPRESS Moissac ;Grande surface alimentaire (supermarché);24 Rue de la République 82200 Moissac ;"=CONCATENATE(A68,"" "",C68)";44.10396069999999,1.0846878;82200;MOISSAC;;05 63 04 00 55 ;;;https://www.intermarche.com/magasin;https://th.bing.com/th/id/ADaVrHy0K7tLH6Q480x360?&rs=1&pid=ImgDet
ENT-0068;Carrefour City ;Grande surface alimentaire (supermarché);3 place lalaque 82000 Montauban ;"=CONCATENATE(A69,"" "",C69)";44.0162994,1.3453049;82000;MONTAUBAN;;05 63 91 85 60;;;https://www.carrefour.fr/magasin/city-montauban-lalaque;https://www.gazettemoselle.fr/wp-content/uploads/2020/09/AdobeStock_369059921_Editorial_Use_Only-scaled.jpeg
ENT-0069;Lidl ;Grande surface alimentaire (supermarché);330 Avenue de Paris 82000 Montauban;"=CONCATENATE(A70,"" "",C70)";44.0319718,1.3751864;82000;MONTAUBAN;;0 800 90 03 43 ;;;https://www.lidl.fr/;https://www.lidl.fr/bundles/retail/images/meta/og_default_600_600.png
